NAME,CDL_CODE,AREA,PERCENTAGE,YEAR,SWAT_CODE
Corn,1,10767.95,9.85,2008,CORN
Sorghum,4,2.06,0.0,2008,SGHY
Soybeans,5,8208.21,7.51,2008,SOYB
Sunflower,6,8.1,0.01,2008,SUNF
Sweet Corn,12,4.57,0.0,2008,CORN
Pop or Orn Corn,13,0.78,0.0,2008,CORN
Mint,14,0.01,0.0,2008,AGRR
Barley,21,5.92,0.01,2008,BARL
Spring Wheat,23,1.48,0.0,2008,SWHT
Winter Wheat,24,3072.54,2.81,2008,WWHT
Dbl Crop WinWht/Soybeans,26,2.06,0.0,2008,SOYB
Rye,27,20.99,0.02,2008,RYE
Oats,28,108.03,0.1,2008,OATS
Millet,29,0.24,0.0,2008,LENT
Speltz,30,9.29,0.01,2008,GRAS
Canola,31,0.08,0.0,2008,CANA
Alfalfa,36,3314.13,3.03,2008,ALFA
Other Hay/Non Alfalfa,37,565.45,0.52,2008,ALFA
Buckwheat,39,0.03,0.0,2008,AGRR
Sugarbeets,41,540.77,0.49,2008,AGRR
Dry Beans,42,832.97,0.76,2008,AGRR
Potatoes,43,108.3,0.1,2008,POTA
Other Crops,44,11.66,0.01,2008,AGRR
Misc Vegs & Fruits,47,0.04,0.0,2008,AGRR
Onions,49,7.95,0.01,2008,ONIO
Cucumbers,50,89.3,0.08,2008,CUCM
Peas,53,7.38,0.01,2008,PEAS
Tomatoes,54,9.83,0.01,2008,TOMA
Herbs,57,9.69,0.01,2008,SHRB
Clover/Wildflowers,58,7.86,0.01,2008,CLVA
Sod/Grass Seed,59,163.54,0.15,2008,GRAS
Switchgrass,60,0.15,0.0,2008,GRAS
Fallow/Idle Cropland,61,123.39,0.11,2008,AGRR
Cherries,66,531.22,0.49,2008,GRAP
Peaches,67,1.03,0.0,2008,GRAP
Apples,68,357.97,0.33,2008,APPL
Grapes,69,115.06,0.11,2008,GRAP
Christmas Trees,70,36.98,0.03,2008,GRAP
Pears,77,0.19,0.0,2008,GRAP
Open Water,111,2498.19,2.29,2008,WATR
Developed/Open Space,121,7138.35,6.53,2008,UIDU
Developed/Low Intensity,122,4878.3,4.46,2008,URLD
Developed/Med Intensity,123,1939.83,1.77,2008,URMD
Developed/High Intensity,124,781.81,0.72,2008,URHD
Barren,131,240.48,0.22,2008,SHRB
Deciduous Forest,141,27549.12,25.21,2008,FRSD
Evergreen Forest,142,4711.65,4.31,2008,FRSE
Mixed Forest,143,826.24,0.76,2008,FRST
Shrubland,152,761.97,0.7,2008,SHRB
 Grassland/Pasture,176,13844.43,12.67,2008,PAST
Woody Wetlands,190,14395.89,13.17,2008,WETL
Herbaceous Wetlands,195,584.7,0.53,2008,WETL
Triticale,205,0.26,0.0,2008,TRIT
Carrots,206,8.77,0.01,2008,CRRT
Asparagus,207,4.39,0.0,2008,ASPN
Peppers,216,2.54,0.0,2008,PEPP
Nectarines,218,0.01,0.0,2008,GRAP
Greens,219,0.1,0.0,2008,GRAS
Plums,220,0.05,0.0,2008,GRAP
Strawberries,221,0.24,0.0,2008,GRAP
Squash,222,11.73,0.01,2008,AGRR
Dbl Crop WinWht/Corn,225,0.4,0.0,2008,CORN
Pumpkins,229,3.52,0.0,2008,AGRR
Dbl Crop WinWht/Sorghum,236,0.0,0.0,2008,AGRR
Dbl Crop Corn/Soybeans,241,0.11,0.0,2008,AGRR
Blueberries,242,57.66,0.05,2008,GRAP
Cabbage,243,2.31,0.0,2008,CABG
Celery,245,0.87,0.0,2008,CELR
Radishes,246,0.62,0.0,2008,RADI
Turnips,247,0.19,0.0,2008,AGRR
Gourds,249,0.52,0.0,2008,ORCD
Cranberries,250,0.04,0.0,2008,AGRR
Corn,1,10587.32,9.69,2009,CORN
Sorghum,4,3.75,0.0,2009,SGHY
Soybeans,5,8995.76,8.23,2009,SOYB
Sunflower,6,6.64,0.01,2009,SUNF
Sweet Corn,12,2.92,0.0,2009,CORN
Pop or Orn Corn,13,0.55,0.0,2009,CORN
Mint,14,0.01,0.0,2009,AGRR
Barley,21,7.73,0.01,2009,BARL
Spring Wheat,23,0.29,0.0,2009,SWHT
Winter Wheat,24,2937.27,2.69,2009,WWHT
Dbl Crop WinWht/Soybeans,26,0.17,0.0,2009,SOYB
Rye,27,32.02,0.03,2009,RYE
Oats,28,107.7,0.1,2009,OATS
Millet,29,0.0,0.0,2009,LENT
Speltz,30,12.98,0.01,2009,GRAS
Canola,31,0.12,0.0,2009,CANA
Flaxseed,32,0.09,0.0,2009,FLAX
Safflower,33,0.03,0.0,2009,AGRR
Rape Seed,34,0.07,0.0,2009,CANA
Alfalfa,36,3269.22,2.99,2009,ALFA
Other Hay/Non Alfalfa,37,482.5,0.44,2009,ALFA
Buckwheat,39,0.05,0.0,2009,AGRR
Sugarbeets,41,517.19,0.47,2009,AGRR
Dry Beans,42,864.35,0.79,2009,AGRR
Potatoes,43,150.55,0.14,2009,POTA
Other Crops,44,6.04,0.01,2009,AGRR
Misc Vegs & Fruits,47,0.14,0.0,2009,AGRR
Watermelons,48,0.03,0.0,2009,WMEL
Onions,49,9.61,0.01,2009,ONIO
Cucumbers,50,112.86,0.1,2009,CUCM
Peas,53,7.9,0.01,2009,PEAS
Tomatoes,54,8.84,0.01,2009,TOMA
Herbs,57,6.83,0.01,2009,SHRB
Clover/Wildflowers,58,6.98,0.01,2009,CLVA
Sod/Grass Seed,59,120.73,0.11,2009,GRAS
Switchgrass,60,0.19,0.0,2009,GRAS
Fallow/Idle Cropland,61,280.34,0.26,2009,AGRR
Cherries,66,663.47,0.61,2009,GRAP
Peaches,67,1.06,0.0,2009,GRAP
Apples,68,480.87,0.44,2009,APPL
Grapes,69,181.17,0.17,2009,GRAP
Christmas Trees,70,41.96,0.04,2009,GRAP
Pears,77,0.57,0.0,2009,GRAP
Aquaculture,92,0.06,0.0,2009,AGRR
Open Water,111,2454.06,2.25,2009,WATR
Developed/Open Space,121,7116.01,6.51,2009,UIDU
Developed/Low Intensity,122,4880.09,4.47,2009,URLD
Developed/Med Intensity,123,1916.25,1.75,2009,URMD
Developed/High Intensity,124,776.14,0.71,2009,URHD
Barren,131,228.82,0.21,2009,SHRB
Deciduous Forest,141,27999.08,25.62,2009,FRSD
Evergreen Forest,142,4623.36,4.23,2009,FRSE
Mixed Forest,143,719.19,0.66,2009,FRST
Shrubland,152,802.22,0.73,2009,SHRB
 Grassland/Pasture,176,13162.87,12.04,2009,PAST
Woody Wetlands,190,13971.03,12.78,2009,WETL
Herbaceous Wetlands,195,557.23,0.51,2009,WETL
Triticale,205,0.47,0.0,2009,TRIT
Carrots,206,8.79,0.01,2009,CRRT
Asparagus,207,14.78,0.01,2009,ASPN
Cantaloupes,209,0.21,0.0,2009,CANT
Peppers,216,0.72,0.0,2009,PEPP
Greens,219,1.45,0.0,2009,GRAS
Plums,220,0.06,0.0,2009,GRAP
Strawberries,221,0.04,0.0,2009,GRAP
Squash,222,18.49,0.02,2009,AGRR
Dbl Crop WinWht/Corn,225,0.05,0.0,2009,CORN
Pumpkins,229,4.03,0.0,2009,AGRR
Dbl Crop WinWht/Sorghum,236,0.06,0.0,2009,AGRR
Dbl Crop Barley/Corn,237,0.01,0.0,2009,AGRR
Dbl Crop Soybeans/Cotton,239,0.01,0.0,2009,AGRR
Blueberries,242,120.69,0.11,2009,GRAP
Cabbage,243,3.87,0.0,2009,CABG
Celery,245,1.73,0.0,2009,CELR
Radishes,246,1.06,0.0,2009,RADI
Turnips,247,0.67,0.0,2009,AGRR
Eggplants,248,0.02,0.0,2009,EGGP
Corn,1,11139.86,10.19,2010,CORN
Sorghum,4,7.88,0.01,2010,SGHY
Soybeans,5,9144.95,8.37,2010,SOYB
Sunflower,6,9.37,0.01,2010,SUNF
Sweet Corn,12,11.95,0.01,2010,CORN
Pop or Orn Corn,13,1.52,0.0,2010,CORN
Mint,14,0.0,0.0,2010,AGRR
Barley,21,11.08,0.01,2010,BARL
Spring Wheat,23,1.13,0.0,2010,SWHT
Winter Wheat,24,2604.54,2.38,2010,WWHT
Dbl Crop WinWht/Soybeans,26,0.12,0.0,2010,SOYB
Rye,27,75.15,0.07,2010,RYE
Oats,28,233.34,0.21,2010,OATS
Millet,29,0.11,0.0,2010,LENT
Speltz,30,7.67,0.01,2010,GRAS
Canola,31,0.47,0.0,2010,CANA
Flaxseed,32,0.41,0.0,2010,FLAX
Safflower,33,0.08,0.0,2010,AGRR
Alfalfa,36,5646.39,5.17,2010,ALFA
Other Hay/Non Alfalfa,37,1500.46,1.37,2010,ALFA
Sugarbeets,41,559.95,0.51,2010,AGRR
Dry Beans,42,1107.15,1.01,2010,AGRR
Potatoes,43,140.71,0.13,2010,POTA
Other Crops,44,0.0,0.0,2010,AGRR
Watermelons,48,0.06,0.0,2010,WMEL
Onions,49,9.9,0.01,2010,ONIO
Peas,53,6.64,0.01,2010,PEAS
Tomatoes,54,5.24,0.0,2010,TOMA
Herbs,57,8.66,0.01,2010,SHRB
Clover/Wildflowers,58,18.32,0.02,2010,CLVA
Sod/Grass Seed,59,343.0,0.31,2010,GRAS
Fallow/Idle Cropland,61,572.93,0.52,2010,AGRR
Cherries,66,276.38,0.25,2010,GRAP
Peaches,67,4.14,0.0,2010,GRAP
Apples,68,146.2,0.13,2010,APPL
Grapes,69,56.37,0.05,2010,GRAP
Christmas Trees,70,68.94,0.06,2010,GRAP
Open Water,111,2444.91,2.24,2010,WATR
Developed/Open Space,121,6718.02,6.15,2010,UIDU
Developed/Low Intensity,122,4758.4,4.35,2010,URLD
Developed/Med Intensity,123,1822.87,1.67,2010,URMD
Developed/High Intensity,124,736.19,0.67,2010,URHD
Barren,131,218.94,0.2,2010,SHRB
Deciduous Forest,141,26899.67,24.61,2010,FRSD
Evergreen Forest,142,4789.17,4.38,2010,FRSE
Mixed Forest,143,1043.43,0.95,2010,FRST
Shrubland,152,462.64,0.42,2010,SHRB
 Grassland/Pasture,176,10298.08,9.42,2010,PAST
Woody Wetlands,190,14647.31,13.4,2010,WETL
Herbaceous Wetlands,195,559.4,0.51,2010,WETL
Triticale,205,1.63,0.0,2010,TRIT
Carrots,206,12.22,0.01,2010,CRRT
Asparagus,207,36.01,0.03,2010,ASPN
Cantaloupes,209,4.21,0.0,2010,CANT
Prunes,210,0.05,0.0,2010,AGRR
Broccoli,214,0.21,0.0,2010,BROC
Peppers,216,0.67,0.0,2010,PEPP
Greens,219,0.07,0.0,2010,GRAS
Plums,220,0.68,0.0,2010,GRAP
Strawberries,221,0.59,0.0,2010,GRAP
Squash,222,54.39,0.05,2010,AGRR
Vetch,224,0.06,0.0,2010,GRAS
Pumpkins,229,5.34,0.0,2010,AGRR
Dbl Crop Soybeans/Oats,240,0.0,0.0,2010,AGRR
Dbl Crop Corn/Soybeans,241,0.0,0.0,2010,AGRR
Blueberries,242,44.56,0.04,2010,GRAP
Celery,245,2.67,0.0,2010,CELR
Radishes,246,8.17,0.01,2010,RADI
Turnips,247,0.73,0.0,2010,AGRR
Eggplants,248,0.03,0.0,2010,EGGP
Gourds,249,0.08,0.0,2010,ORCD
