VPUID,NAME,station,time_step,cc_name,ensemble,NSE_SWAT_LOCA2,MPE_SWAT_LOCA2,PBIAS_SWAT_LOCA2,NSE_SWAT_PRISM,MPE_SWAT_PRISM,PBIAS_SWAT_PRISM
405,40500010102,3_04096515.csv,Daily,ACCESS-ESM1-5,r4i1p1f1,-0.24,182.69,-10.39,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CESM2-LENS,r7i1p1f1,-0.22,230.2,-2.31,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,AWI-CM-1-1-MR,r5i1p1f1,-0.15,192.27,-10.14,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CESM2-LENS,r6i1p1f1,-0.29,200.66,-1.4,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,HadGEM3-GC31-LL,r3i1p1f3,-0.31,219.25,-7.65,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CNRM-ESM2-1,r1i1p1f2,-0.28,230.86,2.08,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CESM2-LENS,r1i1p1f1,-0.37,224.07,5.19,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,MIROC6,r2i1p1f1,-0.18,223.52,-3.3,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CanESM5,r7i1p1f1,-0.41,223.42,7.27,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CESM2-LENS,r5i1p1f1,-0.19,216.38,-1.25,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,IPSL-CM6A-LR,r1i1p1f1,-0.16,190.12,-3.29,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,AWI-CM-1-1-MR,r2i1p1f1,-0.26,215.91,-4.81,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,TaiESM1,r1i1p1f1,-0.29,234.95,0.93,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,NorESM2-LM,r3i1p1f1,-0.23,201.67,-5.72,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,IPSL-CM6A-LR,r6i1p1f1,-0.27,230.28,-7.61,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,EC-Earth3,r3i1p1f1,-0.25,220.08,-0.13,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,ACCESS-CM2,r2i1p1f1,-0.36,243.0,1.22,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,HadGEM3-GC31-MM,r1i1p1f3,-0.24,204.81,-8.13,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,EC-Earth3-Veg,r5i1p1f1,-0.23,221.39,-4.88,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,INM-CM5-0,r3i1p1f1,-0.14,223.74,-4.0,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,EC-Earth3-Veg,r1i1p1f1,-0.25,207.17,-6.54,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,IPSL-CM6A-LR,r5i1p1f1,-0.18,208.03,0.37,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,EC-Earth3,r2i1p1f1,-0.26,270.71,5.07,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,MRI-ESM2-0,r2i1p1f1,-0.34,209.52,-3.98,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CNRM-CM6-1,r1i1p1f2,-0.27,232.08,-4.99,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CanESM5,r3i1p1f1,-0.12,191.51,-10.67,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,IPSL-CM6A-LR,r10i1p1f1,-0.33,240.48,1.55,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CNRM-CM6-1-HR,r1i1p1f2,-0.12,197.41,-5.94,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CESM2-LENS,r3i1p1f1,-0.23,206.38,-13.13,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CanESM5,r5i1p1f1,-0.26,221.58,-7.47,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,FGOALS-g3,r3i1p1f1,-0.23,210.58,0.54,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CanESM5,r2i1p1f1,-0.23,198.42,-7.53,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,INM-CM4-8,r1i1p1f1,-0.5,284.69,1.24,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,FGOALS-g3,r4i1p1f1,-0.35,227.43,-2.38,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CanESM5,r1i1p1f1,-0.2,224.2,-1.76,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,KACE-1-0-G,r3i1p1f1,-0.18,204.41,-5.15,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,EC-Earth3,r4i1p1f1,-0.28,219.43,-4.05,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,HadGEM3-GC31-LL,r2i1p1f3,-0.19,222.22,1.48,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,INM-CM5-0,r5i1p1f1,-0.16,207.05,-8.64,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,GFDL-CM4,r1i1p1f1,-0.25,196.13,-10.08,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,INM-CM5-0,r4i1p1f1,-0.16,224.28,-3.93,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CESM2-LENS,r9i1p1f1,-0.16,191.16,-8.57,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,AWI-CM-1-1-MR,r4i1p1f1,-0.48,282.83,6.11,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CESM2-LENS,r8i1p1f1,-0.26,232.56,4.43,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,AWI-CM-1-1-MR,r3i1p1f1,-0.24,234.06,4.25,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,IPSL-CM6A-LR,r8i1p1f1,-0.21,241.31,1.53,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,FGOALS-g3,r1i1p1f1,-0.23,224.89,0.31,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CESM2-LENS,r10i1p1f1,-0.34,232.3,2.31,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,MIROC6,r3i1p1f1,-0.17,208.87,-9.61,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,MRI-ESM2-0,r4i1p1f1,-0.32,217.11,4.01,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,IPSL-CM6A-LR,r9i1p1f1,-0.28,240.21,4.49,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,EC-Earth3-Veg,r2i1p1f1,-0.39,243.0,2.22,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CanESM5,r6i1p1f1,-0.27,237.96,-1.38,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,NorESM2-LM,r2i1p1f1,-0.33,225.47,-1.46,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CESM2-LENS,r4i1p1f1,-0.1,190.45,-13.55,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,CanESM5,r4i1p1f1,-0.4,270.82,4.75,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,IPSL-CM6A-LR,r3i1p1f1,-0.26,220.12,1.82,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,EC-Earth3,r1i1p1f1,-0.3,214.97,-6.47,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,MPI-ESM1-2-HR,r3i1p1f1,-0.08,191.05,-13.57,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,INM-CM5-0,r1i1p1f1,-0.37,258.34,-2.58,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,IPSL-CM6A-LR,r2i1p1f1,-0.22,227.27,0.67,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,EC-Earth3-Veg,r4i1p1f1,-0.15,190.47,-10.17,0.43,113.48,-6.29
405,40500010102,3_04096515.csv,Daily,MPI-ESM1-2-LR,r1i1p1f1,-0.17,181.97,-12.9,0.43,113.48,-6.29
