VPUID,NAME,station,time_step,cc_name,ensemble,NSE_SWAT_LOCA2,MPE_SWAT_LOCA2,PBIAS_SWAT_LOCA2,NSE_SWAT_PRISM,MPE_SWAT_PRISM,PBIAS_SWAT_PRISM
405,40500010102,3_04096515.csv,Monthly,CESM2-LENS,r2i1p1f1,0.03,147.29,-5.03,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,ACCESS-ESM1-5,r4i1p1f1,-0.02,138.19,-10.57,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CESM2-LENS,r7i1p1f1,-0.16,180.86,-2.44,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,AWI-CM-1-1-MR,r5i1p1f1,-0.04,149.92,-10.38,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CESM2-LENS,r6i1p1f1,-0.06,150.49,-1.62,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,HadGEM3-GC31-LL,r3i1p1f3,-0.17,171.5,-7.87,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CNRM-ESM2-1,r1i1p1f2,-0.21,182.09,1.81,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CESM2-LENS,r1i1p1f1,-0.19,161.23,4.99,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,MIROC6,r2i1p1f1,-0.02,167.32,-3.55,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CanESM5,r7i1p1f1,-0.21,174.19,7.11,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CESM2-LENS,r5i1p1f1,-0.0,162.08,-1.47,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,IPSL-CM6A-LR,r1i1p1f1,0.01,143.52,-3.48,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,AWI-CM-1-1-MR,r2i1p1f1,-0.14,162.34,-5.09,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,TaiESM1,r1i1p1f1,-0.13,181.77,0.67,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,NorESM2-LM,r3i1p1f1,-0.08,156.29,-5.88,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,IPSL-CM6A-LR,r6i1p1f1,-0.19,175.05,-7.82,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,EC-Earth3,r3i1p1f1,-0.14,167.92,-0.4,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,ACCESS-CM2,r2i1p1f1,-0.23,189.66,1.0,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,HadGEM3-GC31-MM,r1i1p1f3,-0.18,158.93,-8.37,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,EC-Earth3-Veg,r5i1p1f1,-0.1,171.7,-5.09,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,INM-CM5-0,r3i1p1f1,-0.01,165.17,-4.28,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,EC-Earth3-Veg,r1i1p1f1,-0.13,160.1,-6.7,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,IPSL-CM6A-LR,r5i1p1f1,0.02,154.19,0.07,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,EC-Earth3,r2i1p1f1,-0.1,208.2,4.75,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,MRI-ESM2-0,r2i1p1f1,-0.23,161.54,-4.07,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CNRM-CM6-1,r1i1p1f2,-0.22,178.73,-5.25,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CanESM5,r3i1p1f1,-0.02,145.62,-10.88,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,IPSL-CM6A-LR,r10i1p1f1,-0.21,188.83,1.27,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CNRM-CM6-1-HR,r1i1p1f2,-0.02,151.9,-6.15,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CESM2-LENS,r3i1p1f1,-0.18,159.2,-13.35,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CanESM5,r5i1p1f1,-0.18,168.72,-7.74,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,FGOALS-g3,r3i1p1f1,-0.03,159.31,0.36,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CanESM5,r2i1p1f1,-0.07,149.0,-7.71,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,INM-CM4-8,r1i1p1f1,-0.42,226.08,0.88,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,FGOALS-g3,r4i1p1f1,-0.26,172.93,-2.65,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,KACE-1-0-G,r3i1p1f1,-0.07,154.52,-5.39,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,EC-Earth3,r4i1p1f1,-0.12,168.49,-4.24,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CanESM5,r1i1p1f1,-0.07,168.62,-1.92,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,HadGEM3-GC31-LL,r2i1p1f3,-0.07,171.41,1.32,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,INM-CM5-0,r5i1p1f1,-0.05,154.02,-8.8,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,GFDL-CM4,r1i1p1f1,-0.2,149.71,-10.23,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,INM-CM5-0,r4i1p1f1,-0.02,165.79,-4.21,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CESM2-LENS,r9i1p1f1,-0.05,145.97,-8.81,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,AWI-CM-1-1-MR,r4i1p1f1,-0.4,214.66,5.79,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CESM2-LENS,r8i1p1f1,-0.12,177.2,4.2,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,AWI-CM-1-1-MR,r3i1p1f1,-0.11,180.76,4.06,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,IPSL-CM6A-LR,r8i1p1f1,-0.03,181.6,1.38,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,FGOALS-g3,r1i1p1f1,-0.11,165.87,0.05,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CESM2-LENS,r10i1p1f1,-0.21,179.22,2.17,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,MIROC6,r3i1p1f1,-0.13,164.71,-9.85,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,MRI-ESM2-0,r4i1p1f1,-0.1,165.53,3.77,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,IPSL-CM6A-LR,r9i1p1f1,-0.18,188.71,4.26,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,EC-Earth3-Veg,r2i1p1f1,-0.17,169.84,2.04,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CanESM5,r6i1p1f1,-0.17,184.7,-1.63,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,NorESM2-LM,r2i1p1f1,-0.16,175.32,-1.61,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CESM2-LENS,r4i1p1f1,-0.03,147.08,-13.74,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,IPSL-CM6A-LR,r3i1p1f1,-0.16,168.28,1.59,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,CanESM5,r4i1p1f1,-0.27,210.3,4.62,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,EC-Earth3,r1i1p1f1,-0.18,165.25,-6.75,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,MPI-ESM1-2-HR,r3i1p1f1,-0.01,143.19,-13.78,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,INM-CM5-0,r1i1p1f1,-0.32,193.35,-2.87,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,IPSL-CM6A-LR,r2i1p1f1,-0.11,174.72,0.49,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,EC-Earth3-Veg,r4i1p1f1,-0.06,146.9,-10.38,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,MPI-ESM1-2-LR,r1i1p1f1,-0.07,136.26,-13.08,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,HadGEM3-GC31-MM,r2i1p1f3,-0.15,154.64,-3.96,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,INM-CM5-0,r2i1p1f1,-0.22,181.83,2.58,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,EC-Earth3-Veg,r3i1p1f1,-0.24,188.37,6.59,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,MPI-ESM1-2-LR,r3i1p1f1,-0.51,194.08,1.01,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,IPSL-CM6A-LR,r4i1p1f1,-0.04,166.23,-0.69,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,ACCESS-CM2,r1i1p1f1,-0.21,209.08,8.11,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,MPI-ESM1-2-HR,r2i1p1f1,-0.2,211.99,4.36,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,IPSL-CM6A-LR,r7i1p1f1,-0.13,173.0,-1.45,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,GFDL-ESM4,r1i1p1f1,0.04,137.04,-10.43,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,FGOALS-g3,r5i1p1f1,0.04,140.89,-12.54,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,KACE-1-0-G,r2i1p1f1,-0.25,182.86,5.7,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,MPI-ESM1-2-LR,r2i1p1f1,-0.0,154.2,3.66,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,MRI-ESM2-0,r5i1p1f1,-0.19,175.48,-9.81,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,NorESM2-MM,r2i1p1f1,-0.37,181.51,13.97,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,HadGEM3-GC31-LL,r1i1p1f3,-0.0,174.28,-0.33,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,NorESM2-LM,r1i1p1f1,-0.05,159.33,-0.29,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,ACCESS-ESM1-5,r2i1p1f1,-0.06,158.34,-3.08,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,AWI-CM-1-1-MR,r1i1p1f1,-0.03,153.67,-3.31,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,MRI-ESM2-0,r3i1p1f1,-0.23,193.75,4.67,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,ACCESS-ESM1-5,r5i1p1f1,-0.04,161.36,-7.17,0.45,97.34,-6.52
405,40500010102,3_04096515.csv,Monthly,ACCESS-CM2,r3i1p1f1,-0.1,160.94,-3.83,0.45,97.34,-6.52
405,40500010206,10_04096405.csv,Monthly,FGOALS-g3,r3i1p1f1,-0.01,86.16,1.1,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,IPSL-CM6A-LR,r9i1p1f1,-0.23,99.5,5.07,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,ACCESS-CM2,r1i1p1f1,-0.1,98.43,3.41,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,IPSL-CM6A-LR,r4i1p1f1,0.01,85.15,-0.2,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,INM-CM5-0,r3i1p1f1,-0.06,88.66,-1.64,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,FGOALS-g3,r4i1p1f1,-0.19,90.1,-1.72,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,CanESM5,r4i1p1f1,-0.27,103.26,2.59,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,ACCESS-ESM1-5,r5i1p1f1,-0.07,88.81,-1.92,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,EC-Earth3,r1i1p1f1,-0.17,89.18,-2.1,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,MIROC6,r2i1p1f1,-0.08,85.98,-1.44,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,EC-Earth3-Veg,r3i1p1f1,-0.32,98.74,2.26,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,CNRM-ESM2-1,r1i1p1f2,-0.2,94.94,1.47,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,IPSL-CM6A-LR,r2i1p1f1,-0.1,91.4,1.82,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,KACE-1-0-G,r2i1p1f1,-0.12,92.92,4.93,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,ACCESS-ESM1-5,r2i1p1f1,-0.02,85.4,0.39,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,INM-CM5-0,r1i1p1f1,-0.32,100.66,-1.4,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,CanESM5,r2i1p1f1,-0.05,83.28,-1.83,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,CNRM-CM6-1,r1i1p1f2,-0.11,89.88,-2.34,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,GFDL-ESM4,r1i1p1f1,0.06,77.82,-4.67,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,IPSL-CM6A-LR,r7i1p1f1,-0.08,91.13,1.71,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,EC-Earth3,r4i1p1f1,-0.09,90.47,-1.99,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,EC-Earth3-Veg,r5i1p1f1,-0.04,86.11,-1.33,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,CanESM5,r6i1p1f1,-0.12,91.71,-1.47,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,EC-Earth3-Veg,r4i1p1f1,-0.08,84.02,-3.55,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,ACCESS-CM2,r3i1p1f1,-0.14,91.82,-1.11,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,HadGEM3-GC31-LL,r3i1p1f3,-0.06,91.23,-1.08,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,MRI-ESM2-0,r4i1p1f1,-0.07,89.28,3.39,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,INM-CM5-0,r2i1p1f1,-0.17,90.89,1.58,0.37,66.59,-0.02
405,40500010206,10_04096405.csv,Monthly,IPSL-CM6A-LR,r10i1p1f1,-0.15,95.97,1.08,0.37,66.59,-0.02
