NAME,NSE,MPE,PBIAS
40500010102,0.43,114.71,-6.0
40500010206,0.35,74.03,1.5
40500012304,0.09,24.09,-2.57
40500012403,0.26,27.61,0.33
40500020207,0.49,66.54,7.47
40500020402,0.72,184.61,0.17
40500030307,0.25,56.25,-17.345001
40500030310,0.14,68.8,9.67
40500030505,0.3,20.81,6.15
40500030805,0.73,34.27,-2.12
40500040102,0.52,43.95,-1.39
40500040502,0.57,281.17,3.13
40500040504,0.465,179.98,5.135
40500050207,0.15,321.68,12.39
40500050302,0.49,29.07,-9.28
40500060401,0.41,32.94,-1.75
40500070211,0.52,48.16,-4.92
40601010503,0.28,29.28,2.15
40601010803,0.33,23.49,6.78
40601020302,-1.45,64.11,33.34
40601020807,0.51,28.7,6.18
40601021003,0.38,66.39,-2.56
40601030402,0.49,73.08,15.7
40601030404,0.265,45.0,2.44
40601040202,-0.14,16.63,12.98
40601050201,-0.98,21.87,4.63
40601050502,0.15,20.46,1.53
40700040102,-0.08,18.28,4.9
40700040301,0.34,18.83,-3.47
40700070106,0.03,38.92,7.16
40802010304,0.39,39.44,13.03
40802020104,0.44,40.0,5.77
40802030205,0.61,58.96,1.03
40802040101,0.325,67.59,-24.73
40802040104,0.39,103.92,-5.45
40802040405,0.49,130.01,3.04
40900010102,0.52,167.77,-8.5
40900010209,0.56,119.97,-15.94
40900010403,0.54,93.59,-1.37
40900030303,0.5,373.49,-7.26
40900030304,0.3166667,421.43335,-14.69
40900030305,0.46,61.77,-4.3
40900040202,0.67,56.18,4.6
40900040404,0.2375,88.4825,24.8925
41000020101,0.44,84.44,14.73
41000130204,0.33,67.0,7.54
