names,mean,top_five_freq,bottom_ten_freq
1_k_sb,15.0,8.0,5
hru_ps,15.0,8.0,5
hru_es,16.0,4.0,4
esco,16.0,6.0,6
2_sy,17.0,6.0,6
3_k_sb,17.0,4.0,6
3_hhc,17.0,3.0,2
2_hhc,17.0,2.0,6
4_thickness_sb,18.0,10.0,12
tmp_lag,18.0,2.0,5
2_k_sb,18.0,5.0,7
surq_lag,18.0,5.0,6
melt_max,19.0,3.0,7
vol_area_co,19.0,5.0,10
4_hhc,19.0,5.0,6
1_hhc,19.0,4.0,10
1_sy,19.0,8.0,10
dp_es,19.0,4.0,9
2_thickness_sb,19.0,2.0,9
3_sy,19.0,3.0,8
cn3_swf,19.0,4.0,9
mann,19.0,5.0,6
melt_min,19.0,2.0,6
epco,20.0,4.0,11
dp_ps,20.0,4.0,8
hru_frac,20.0,3.0,8
melt_tmp,20.0,5.0,8
k,20.0,1.0,9
perco,20.0,7.0,11
fall_tmp,21.0,2.0,7
4_k_sb,21.0,2.0,8
3_thickness_sb,21.0,3.0,12
cn_froz,21.0,3.0,10
4_sy,21.0,5.0,11
vol_dp_a,21.0,3.0,10
vol_dp_b,23.0,,11
1_thickness_sb,23.0,,12
