cn_froz,perco,epco,esco,cn3_swf,tmp_lag,fall_tmp,melt_tmp,melt_min,melt_max,k,mann,surq_lag,1_hhc,2_hhc,3_hhc,4_hhc,1_sy,2_sy,3_sy,4_sy,1_k_sb,2_k_sb,3_k_sb,4_k_sb,1_thickness_sb,2_thickness_sb,3_thickness_sb,4_thickness_sb,hru_ps,dp_ps,hru_es,dp_es,vol_area_co,vol_dp_a,vol_dp_b,hru_frac,NAME
0.09,0.57,0.57,0.85,0.85,0.01,1.04,2.64,-0.16,-1.0,99.77,0.0,1.13,21.58,18.34,19.27,1.2,0.12,0.41,0.56,0.56,4.06,171.08,200.0,116.61,1.67,1.96,2.0,1.71,47.13,67.65,67.25,-8.6,-72.93,-30.63,-61.67,-21.76,04096405
0.1,0.83,0.59,0.95,0.0,0.7,5.0,5.0,-1.0,-1.0,0.25,0.0,0.05,49.31,49.41,20.33,49.32,0.26,0.45,0.29,0.6,198.51,96.44,1.08,200.0,2.0,0.58,1.14,0.5,60.39,-44.87,-26.43,-34.88,75.0,75.0,-54.41,-70.63,04105000
0.06,0.86,0.47,0.84,0.34,1.21,2.33,2.34,0.73,-1.0,55.35,0.17,0.27,33.26,17.62,30.73,20.98,0.2,0.23,0.3,0.13,136.61,52.87,16.99,23.51,1.78,1.83,1.1,1.03,7.22,-48.36,1.3,-41.84,-34.57,28.0,13.86,19.23,04111379
0.07,0.71,0.56,0.78,0.02,0.08,0.59,1.53,-0.32,-1.0,48.08,0.08,0.98,15.03,40.87,29.03,48.1,0.43,0.46,0.46,0.46,106.23,197.06,7.63,130.34,1.17,1.84,0.92,0.71,28.03,-5.65,36.31,20.47,30.61,-20.43,54.52,74.71,04121944
0.08,0.67,0.61,0.78,0.9,1.41,2.01,2.74,2.56,0.41,54.46,0.06,1.04,18.64,21.47,29.92,33.69,0.14,0.09,0.39,0.24,110.62,17.82,176.19,189.41,1.04,1.38,1.52,0.58,-10.14,24.25,-11.22,12.1,61.56,53.83,-27.38,-72.42,04124500
0.1,0.72,0.53,0.82,0.0,0.03,1.52,4.15,-0.87,5.12,71.63,0.06,1.7,39.46,15.03,39.22,29.29,0.38,0.43,0.6,0.04,181.48,131.83,28.88,182.61,1.77,1.45,1.29,2.0,38.39,-27.68,-40.23,-74.94,-54.59,-27.49,-11.98,58.41,04142000
0.01,0.48,0.58,0.83,0.0,0.84,-2.45,0.76,0.44,-0.67,28.79,0.19,0.53,37.48,19.8,32.85,37.91,0.21,0.49,0.44,0.57,198.03,107.58,0.7,122.25,1.51,0.82,1.08,1.02,26.67,-20.29,-6.55,67.3,-45.21,-70.15,11.09,64.75,04146000
0.09,0.72,0.55,0.82,0.51,0.15,1.99,2.21,-0.07,0.15,68.5,0.07,0.75,20.41,42.22,20.55,6.63,0.13,0.2,0.34,0.37,77.26,112.52,139.83,153.64,1.19,1.2,1.0,1.92,42.97,30.78,-2.46,-40.6,-37.18,25.91,-25.43,54.07,04146063
0.0,0.56,0.54,0.77,0.02,1.17,4.55,5.0,1.69,0.98,95.54,0.09,0.88,49.83,22.75,26.38,50.0,0.4,0.18,0.44,0.56,173.03,31.96,120.83,119.18,1.02,2.0,2.0,0.85,-11.19,-51.73,70.65,-8.78,-14.88,-14.65,-45.51,32.22,04159900
0.09,0.79,0.53,0.86,0.64,1.92,0.29,4.95,1.48,9.2,75.93,0.01,0.05,48.57,34.38,22.63,37.15,0.11,0.17,0.24,0.57,171.36,195.35,16.03,58.34,0.85,0.57,1.42,1.98,36.55,-72.33,-70.18,-35.99,-35.01,-54.99,45.46,-49.46,04166000
