cc_model,scenario,ensemble,NSE,MSE,PBIAS,RMSE,std,correlation
IPSL-CM6A-LR,historical,r7i1p1f1,-0.1604113316509676,16792.60002992267,-0.787422940001736,129.58626481970484,74.13516482609168,0.2151163139571397
ACCESS-CM2,historical,r3i1p1f1,-0.2672817440187545,20734.98136416964,-4.503830997288025,143.99646302659534,110.4199702686154,0.4276858028621028
CanESM5,historical,r1i1p1f1,-0.381691529562292,22248.11878513774,-4.113985076758902,149.15803292192393,100.89787845700032,0.3192759608143813
EC-Earth3,historical,r3i1p1f1,-0.3929803775894331,22347.979467764435,-4.681715248426591,149.49240605383417,81.90755174906026,0.0710437934909579
NorESM2-LM,historical,r1i1p1f1,-0.5398444719438473,23697.329164650197,-2.2872984611592595,153.9393684690508,118.97281266162358,0.2501338325718754
FGOALS-g3,historical,r1i1p1f1,-0.6247247355527779,24084.77331098837,-4.760370886307748,155.19269735070776,93.65576600990724,0.0887027700993037
CanESM5,historical,r7i1p1f1,-0.2769417586855265,24146.77660778828,-3.3238977724373773,155.3923312386692,103.18030224444443,0.1781602362396501
CESM2-LENS,historical,r10i1p1f1,-0.5286946567566289,24707.589003184174,-2.733102118327185,157.18647843623248,103.86759396970052,0.0935998952033255
FGOALS-g3,historical,r3i1p1f1,-0.4396868914228742,25562.35185074212,-2.3153816097942146,159.88230624663294,105.44343650133412,0.1523239738721483
KACE-1-0-G,historical,r3i1p1f1,-0.6282208023713833,25978.219628446204,-7.982628174728859,161.17760275064958,91.40420357033112,0.2050266337464246
IPSL-CM6A-LR,historical,r2i1p1f1,-0.6937148195792895,26465.4245384484,-4.1632950729216525,162.68197361247005,107.86045373772512,0.0983096371925757
CESM2-LENS,historical,r1i1p1f1,-0.842209763016772,26897.809788061222,-3.5191413017459774,164.00551755371288,118.42814037981373,0.2165956679587911
CanESM5,historical,r3i1p1f1,-0.6097745039271307,26997.27785684524,-7.596141437604853,164.30848382492377,116.2739629345846,0.3242972402930038
MPI-ESM1-2-LR,historical,r3i1p1f1,-0.6461729460258012,27202.16588673008,-6.700674468584743,164.93079120264375,90.97173623993274,0.1600469653604426
HadGEM3-GC31-MM,historical,r1i1p1f3,-0.9088943695283872,27408.08926118344,-9.439248243557811,165.55388627629205,112.7134990522078,0.3484963138676307
GFDL-ESM4,historical,r1i1p1f1,-0.7844217172568755,27537.80840600308,-7.708625139533728,165.945196995885,101.4574771989022,0.0755369021596515
MRI-ESM2-0,historical,r2i1p1f1,-0.6858537907107969,28164.41059169218,-5.610114646401685,167.82255686197902,82.5680448289716,-0.1023850986163188
CESM2-LENS,historical,r2i1p1f1,-0.7453309716560441,28263.37243676308,-6.157703526395649,168.11713903336292,111.96457719952218,0.1568243251784604
ACCESS-ESM1-5,historical,r5i1p1f1,-0.7845024685912412,28332.20170965696,-6.4781429580580445,168.32172084926225,111.95520291261812,0.1434701783017117
CNRM-ESM2-1,historical,r1i1p1f2,-0.5861696366776237,28480.059422780618,-5.258845430996276,168.7603609346123,157.18415784959976,0.4171945530725175
IPSL-CM6A-LR,historical,r4i1p1f1,-0.5292994987472457,28664.459277131413,-2.2463358603087364,169.3058158396557,128.47918407751695,0.2327281370705577
FGOALS-g3,historical,r4i1p1f1,-0.9035102405421376,28817.53977054487,-5.384522738998191,169.7572966636335,126.46405106771616,0.2226371840995657
AWI-CM-1-1-MR,historical,r3i1p1f1,-1.006173507841703,29546.07414430854,-1.2640454779512689,171.88971506261956,113.60650944599648,-0.0462997325660598
ACCESS-ESM1-5,historical,r4i1p1f1,-0.7104819341857067,29670.51994844181,-9.889402622210646,172.25132785683195,104.5081755814505,0.2317835089388698
MRI-ESM2-0,historical,r3i1p1f1,-1.1390760538725155,29770.56426482104,-3.097601323407775,172.54148563409623,111.9561438559894,-0.0957405785803373
INM-CM5-0,historical,r2i1p1f1,-0.7984170458521482,29981.93910747835,-6.590102286401926,173.15293560167655,115.41686732059476,0.1583661694639784
MIROC6,historical,r2i1p1f1,-0.9792439955974092,30080.114424462805,-1.0495181208030075,173.43619698454762,151.60183594405646,0.1777798134029006
IPSL-CM6A-LR,historical,r10i1p1f1,-0.6699548447446715,30192.81942473824,-0.998332705283439,173.7608109578746,92.41987342185338,-0.1124973235859908
EC-Earth3-Veg,historical,r4i1p1f1,-0.831123612569864,30595.345842614133,-6.50299907289925,174.91525331603913,72.71005693064593,-0.3364046147017854
IPSL-CM6A-LR,historical,r5i1p1f1,-0.8281331955919682,31102.497023942116,-2.780110252381258,176.3590004052589,106.21341706687684,-0.039415640905863
CNRM-CM6-1-HR,historical,r1i1p1f2,-0.7485954006585409,31119.0434239886,-6.927467347330552,176.405905297948,108.1809470875306,0.1268670236196183
EC-Earth3-Veg,historical,r1i1p1f1,-0.959783477836001,31442.942355000014,-5.5608784489688485,177.3215789321763,107.41118269378124,-0.0113142627030341
EC-Earth3,historical,r2i1p1f1,-0.8180785870716945,31469.61004929845,-0.4291956612853883,177.39675884665553,96.21651093174108,-0.196237296301023
CanESM5,historical,r4i1p1f1,-0.84945159316608,31743.69979311918,-2.7449868583522354,178.16761712813914,97.85584232919524,-0.1277206128761293
EC-Earth3,historical,r1i1p1f1,-0.7752424863327974,32121.22820020661,-8.798742812168268,179.22396101025836,102.42185330336312,0.1119587107059486
MIROC6,historical,r3i1p1f1,-1.3629516666592227,32196.02288805785,-8.073860660398232,179.43250231788514,103.08159775929578,-0.0372171799527653
ACCESS-ESM1-5,historical,r2i1p1f1,-1.2219420547930926,32260.70512295069,-3.588789664905755,179.61265301462117,124.74576795698071,-0.0363858406130811
IPSL-CM6A-LR,historical,r1i1p1f1,-1.033734886249151,32291.010241218835,-3.1486966194213872,179.69699563770908,115.76600605613297,-0.0046968873159233
TaiESM1,historical,r1i1p1f1,-1.09131526286295,32522.346235106183,0.0142733225735381,180.33953042831783,121.07220944957908,-0.0552536934614093
MPI-ESM1-2-LR,historical,r2i1p1f1,-0.9464774550558026,32908.23292378946,-2.5583084906055977,181.40626484162408,116.69425527717242,-0.0353145366384946
AWI-CM-1-1-MR,historical,r1i1p1f1,-1.2157426946932146,33429.33182913216,-5.717760129841879,182.83689952832867,115.40128933170855,-0.0764094116620936
HadGEM3-GC31-LL,historical,r3i1p1f3,-1.2148941874916304,33810.33704072575,-6.371408885042307,183.8758740039752,123.09265671664208,-0.0493744997885402
CESM2-LENS,historical,r8i1p1f1,-1.4334798948292553,34059.12991109862,-1.2312807382409852,184.55115797821108,142.05612750154324,-0.0071771873515641
MRI-ESM2-0,historical,r4i1p1f1,-1.0918452507509016,34141.683607589795,0.8623184284058687,184.77468335134492,122.10070879448509,-0.0676694208987205
NorESM2-LM,historical,r2i1p1f1,-1.18721878939699,34464.30342843942,-3.961669695439163,185.64563940055103,97.06299737845669,-0.2469007846826008
HadGEM3-GC31-LL,historical,r2i1p1f3,-1.0776078403604124,34702.4362271185,-6.49677055236719,186.2858991634056,107.91366622103664,-0.0815081172153544
CESM2-LENS,historical,r9i1p1f1,-1.2416512235968828,34762.3651087515,-10.143599083542702,186.4466816780377,99.31120611351392,-0.0676825945574269
INM-CM5-0,historical,r5i1p1f1,-1.1724621653030454,34858.213537814794,-9.322320483582777,186.703544523972,138.74306728165638,0.2334251725793445
HadGEM3-GC31-LL,historical,r1i1p1f3,-1.1435959548696557,35314.26842410257,-1.9615665194939715,187.92091002361224,111.35412095340496,-0.1717154245021516
NorESM2-MM,historical,r2i1p1f1,-1.0463392377437968,35411.1049871795,3.2888529574958545,188.1783860786873,147.1798207738078,0.0647495436624002
INM-CM5-0,historical,r4i1p1f1,-1.2013172604354012,35622.632550295864,-7.1165022624124665,188.7395892500984,93.08152875580356,-0.2501387310097421
INM-CM5-0,historical,r3i1p1f1,-1.1978667780083383,35736.765725285986,-7.10686796796881,189.0417036669052,93.53179069236684,-0.2549212379634604
ACCESS-CM2,historical,r2i1p1f1,-1.2232403915487713,36019.06813988168,-5.6200949630942905,189.78690191865635,102.64057010722048,-0.1956882025527932
EC-Earth3-Veg,historical,r3i1p1f1,-0.9266353782920668,36373.28485499064,2.1176304593210062,190.71781472896188,126.9016965321821,0.0072441649214721
EC-Earth3-Veg,historical,r5i1p1f1,-1.2881807458726864,36535.552916011904,-3.4833687811509293,191.14275533226967,129.86823130022847,-0.063386906567615
CanESM5,historical,r2i1p1f1,-1.2509045332305648,36545.53652951022,-6.888486778957249,191.16886914325303,100.87240285028264,-0.2037193072264031
EC-Earth3-Veg,historical,r2i1p1f1,-1.0599350330197015,37052.73635486021,-4.660159470128833,192.4908734326389,111.56656984777128,-0.1825563726918561
