NAME,MODEL_NAME,NUMBER_OF_STATIONS,best_performance
04121300,SWAT_gwflow_MODEL,1,0.7705483297535116
04103500,SWAT_gwflow_MODEL,1,0.7615635696204561
04145000,SWAT_gwflow_MODEL,1,0.7334755285263554
04155500,SWAT_gwflow_MODEL,1,0.733012160475076
04148140,SWAT_gwflow_MODEL,1,0.7214183186664652
04175600,SWAT_gwflow_MODEL,1,0.7188309899762568
04096405,SWAT_gwflow_MODEL,1,0.7157943641029865
04122200,SWAT_gwflow_MODEL,1,0.7137938900210157
04097540,SWAT_gwflow_MODEL,1,0.7043150608784298
04114498,SWAT_gwflow_MODEL,1,0.7016939012327585
04121944,SWAT_gwflow_MODEL,1,0.7012375035398503
04118500,SWAT_gwflow_MODEL,1,0.7005698904722606
04124200,SWAT_gwflow_MODEL,2,0.6733204827838872
04111000,SWAT_gwflow_MODEL,2,0.6688005399962655
04154000,SWAT_gwflow_MODEL,2,0.6597897925206955
04122100,SWAT_gwflow_MODEL,1,0.6525290367722067
04150500,SWAT_gwflow_MODEL,1,0.6521886324910818
04111379,SWAT_gwflow_MODEL,1,0.6310804420751077
04146000,SWAT_gwflow_MODEL,1,0.6302246119465875
04164300,SWAT_gwflow_MODEL,1,0.6276707861502441
04124000,SWAT_gwflow_MODEL,1,0.6267196765876774
04160600,SWAT_gwflow_MODEL,1,0.617709236673202
04108600,SWAT_gwflow_MODEL,1,0.6063256680619298
04146063,SWAT_gwflow_MODEL,2,0.603886898472719
04142000,SWAT_gwflow_MODEL,1,0.5932999451308631
04115265,SWAT_gwflow_MODEL,1,0.5926146261589538
04159492,SWAT_gwflow_MODEL,1,0.5844074141024886
04151500,SWAT_gwflow_MODEL,2,0.5779244487313209
04167000,SWAT_gwflow_MODEL,1,0.576259422667735
04144500,SWAT_gwflow_MODEL,1,0.5751669748132655
04159900,SWAT_gwflow_MODEL,1,0.5749623322815354
04166000,SWAT_gwflow_MODEL,1,0.5729783448839123
04124500,SWAT_gwflow_MODEL,1,0.5643657933271947
04112500,SWAT_gwflow_MODEL,3,0.5580600838761195
04122500,SWAT_gwflow_MODEL,1,0.5568078396341969
04126740,SWAT_gwflow_MODEL,1,0.5460962003890311
04102500,SWAT_gwflow_MODEL,1,0.5445850569873764
04147500,SWAT_gwflow_MODEL,4,0.5266846784796304
04108800,SWAT_gwflow_MODEL,1,0.5159680222230465
04135700,SWAT_gwflow_MODEL,1,0.5142347656457894
04136000,SWAT_gwflow_MODEL,2,0.5043862682934924
04148500,SWAT_gwflow_MODEL,5,0.5040201322948306
04105500,SWAT_gwflow_MODEL,4,0.5015336697864784
04096515,SWAT_gwflow_MODEL,1,0.44509227601677415
04126970,SWAT_gwflow_MODEL,1,0.44311221379101984
04184500,SWAT_gwflow_MODEL,1,0.4203816746578453
04113000,SWAT_gwflow_MODEL,6,0.4187417812058774
04166300,SWAT_gwflow_MODEL,1,0.41349412970406624
04105000,SWAT_gwflow_MODEL,2,0.403496394183859
04161000,SWAT_gwflow_MODEL,1,0.3763040661652912
04117500,SWAT_gwflow_MODEL,1,0.36852253090538656
04127800,SWAT_gwflow_MODEL,1,0.3609186263291933
04102700,SWAT_gwflow_MODEL,1,0.32775373182833534
04176500,SWAT_gwflow_MODEL,3,0.32696226797983213
04127997,SWAT_gwflow_MODEL,1,0.3220628603047589
04128990,SWAT_gwflow_MODEL,1,0.32005896755890234
04166100,SWAT_gwflow_MODEL,2,0.2502927737252605
04161540,SWAT_gwflow_MODEL,1,0.22370963299740138
04115000,SWAT_gwflow_MODEL,1,0.21473240265135962
04106000,SWAT_gwflow_MODEL,6,-0.20782401875863302
