NAME,HRU_Count,Total_Area,percent_urban_landuse,percent_agriculture_landuse,percent_wetland_landuse,percent_forest_landuse,rivers_length,n_rivers,total_Lake_area_sqkm,average_lake_area_sqkm,number_of_lakes,MODEL_NAME,NUMBER_OF_STATIONS,best_performance
4096405,10280,55358.41,10.36010607963632,57.73675580638967,21.848676650937048,10.054461463036962,394660.78979,280,6.01,0.17,36.0,SWAT_gwflow_MODEL,1,0.7157943641029865
4105000,16512,72357.39,10.032354677248586,51.019446666055806,22.83382526650008,16.114373390195528,490536.39207,364,5.77,0.16,37.0,SWAT_gwflow_MODEL,2,0.403496394183859
4111379,14109,60677.95,10.955495365285085,58.83928181489322,22.40957382376959,7.795648996052108,485524.73001,400,0.8,0.05,17.0,SWAT_gwflow_MODEL,1,0.6310804420751077
4121944,22630,96424.3,9.253279515640768,40.72660107462538,16.921294735870525,33.09882467386334,694631.19425,838,17.67,0.09,200.0,SWAT_gwflow_MODEL,1,0.7012375035398503
4124500,6251,15782.61,8.233238988988512,31.062796330898376,22.243342514324308,38.4606221657888,90447.8205,173,2.66,0.07,38.0,SWAT_gwflow_MODEL,1,0.5643657933271947
4142000,27651,98478.62,8.794182940418946,24.50636493484576,25.48785716128028,41.21159496345501,972862.57845,1034,23.18,0.15,157.0,SWAT_gwflow_MODEL,1,0.5932999451308631
4146000,5515,13518.95,16.570591650978812,29.541421486136127,18.64390355759878,35.24408330528628,115516.26916,104,2.78,0.08,37.0,SWAT_gwflow_MODEL,1,0.6302246119465875
4146063,19880,54352.9,13.396470105550945,34.92249723565808,20.475742784653622,31.20528987413735,488873.45505,503,5.92,0.06,97.0,SWAT_gwflow_MODEL,2,0.603886898472719
4159900,9899,43796.33,5.771465325975943,65.0977148085239,14.164246182271436,14.966573683228708,552533.40583,493,1.02,0.06,16.0,SWAT_gwflow_MODEL,1,0.5749623322815354
4166000,7155,16619.86,93.87419629286887,0.0346573316502064,3.4681399241630197,2.623006451317881,150524.83391000002,362,4.39,0.09,51.0,SWAT_gwflow_MODEL,1,0.5729783448839123
4166300,7660,17979.87,93.4287066591694,0.3337621462224143,2.602577215519356,3.634953979088837,256396.70697,640,0.3,0.01,31.0,SWAT_gwflow_MODEL,1,0.4134941297040662
4096515,2825,12835.670000000002,7.550910860126506,64.17475675208227,16.02908145815528,12.245250929635926,90239.67115,87,2.87,0.14,21.0,SWAT_gwflow_MODEL,1,0.4450922760167741
4102700,5117,21524.82,7.304451326422242,40.74361597448899,29.61144390522197,22.3404887938668,232010.00013,200,2.88,0.14,21.0,SWAT_gwflow_MODEL,1,0.3277537318283353
4108600,7410,30638.97,10.689589108250049,61.03468882929159,14.522191836083264,13.753530226375103,265204.45001,214,2.56,0.12,22.0,SWAT_gwflow_MODEL,1,0.6063256680619298
4108800,8441,34374.6,32.560320701913625,58.12754184775969,5.590261413950999,3.7218760363756966,448247.90906,324,0.2,0.02,10.0,SWAT_gwflow_MODEL,1,0.5159680222230465
